Wall time,Step,Value
1754949666.8767865,115427,5.1380438804626465
1754950332.815702,118575,5.201059818267822
1754950349.1160345,118652,5.073469161987305
1754950530.9118903,119508,4.975091934204102
1754951184.4237711,122591,5.1764020919799805
1754951366.3145947,123454,5.208806991577148
1754951518.8347433,124180,5.130034446716309
1754952242.4820065,127611,4.994302749633789
1754952464.3729517,128664,5.001101493835449
1754952599.8714926,129305,5.154498100280762
1754952605.2356014,129330,5.14475679397583
1754952673.5656023,129654,5.03627347946167
1754953002.4152405,131209,5.149820327758789
1754953308.1194746,132653,5.094356536865234
1754953375.303479,132971,4.816812038421631
1754953793.770613,134950,4.959341049194336
1754953805.443894,135005,4.841819763183594
1754954418.3104055,137909,4.8451619148254395
1754954464.9645445,138129,4.98650598526001
1754954824.0421197,139830,4.927603721618652
1754954910.1624527,140238,5.052175998687744
1754955378.504566,142457,5.108391761779785
1754955866.030217,144757,4.961389541625977
1754955872.7610564,144789,4.779616355895996
1754956104.0620916,145880,4.913670063018799
1754957170.5214381,150913,4.92548942565918
1754957205.143646,151077,4.904287338256836
1754957666.3599312,153261,5.038398742675781
1754957689.2562368,153370,4.8705034255981445
1754957866.4992304,154209,5.086294174194336
1754958403.1777716,156748,4.942642688751221
1754958570.622835,157539,4.7731709480285645
1754958616.632341,157757,4.9058122634887695
1754958944.2626097,159308,4.679563522338867
1754959006.6491034,159603,4.882111072540283
1754959054.7497368,159829,4.947104454040527
1754959106.846346,160075,5.122104167938232
1754959196.4547374,160497,5.045076370239258
1754959244.0017374,160722,4.84065055847168
1754959394.810215,161434,4.752655506134033
1754959453.0547783,161710,4.856307029724121
1754959497.2486796,161920,4.891120433807373
1754960034.792832,164462,4.745628356933594
1754960097.0908916,164756,5.012138366699219
1754960268.8578367,165569,4.770498275756836
1754960652.0831487,167382,4.883404731750488
1754960774.2243102,167959,5.044157981872559
1754960906.4714506,168584,4.792857646942139
1754960915.2773807,168626,4.698575973510742
1754961987.1383371,173694,4.764387130737305
1754962118.0943646,174312,4.7500739097595215
1754962464.6486037,175953,4.804779052734375
1754962889.4703727,177965,4.740194797515869
1754963018.8920166,178580,4.6884870529174805
1754963129.1545916,179101,4.729874134063721
1754963161.5096004,179254,4.896158218383789
1754963214.9684403,179505,4.710943222045898
1754963249.593781,179668,4.7903289794921875
1754963326.914593,180033,5.0081987380981445
1754963690.320071,181752,4.601256370544434
1754963757.4122064,182069,4.7133331298828125
1754964082.206405,183606,4.774293899536133
1754964546.0917883,185804,4.677868843078613
1754964555.1187599,185847,4.813689708709717
1754964760.4564934,186819,4.739991664886475
1754965114.9067516,188491,4.75112247467041
1754965341.8034327,189565,4.680540084838867
1754965525.8067174,190434,4.710414409637451
1754965739.3248048,191446,4.561649799346924
1754966097.3297307,193140,4.624117851257324
1754966208.0205338,193667,4.77353048324585
1754966297.74305,194092,4.672823905944824
1754966479.915628,194956,4.76179838180542
1754966802.2767625,196483,4.639646530151367
1754966966.0283523,197256,4.801937103271484
1754967194.5616038,198338,4.780649662017822
1754967250.0901592,198602,4.677704811096191
1754967387.2972674,199252,4.742198467254639
1754967473.3890374,199660,4.5727620124816895
1754967475.7052374,199671,4.823122978210449
1754967491.491623,199746,4.687265396118164
1754967572.0003614,200126,4.652057647705078
1754967657.087101,200528,4.653360843658447
1754967825.1612394,201321,4.826613903045654
1754968015.099534,202220,4.6290283203125
1754968549.090851,204749,4.769128799438477
1754968761.2439945,205754,4.715065956115723
1754968857.2469761,206208,4.620072364807129
1754969504.8926072,209276,4.719137191772461
1754969767.3208141,210517,4.6333465576171875
1754969791.8285213,210634,4.738370895385742
1754969839.7224238,210862,4.711777687072754
1754970133.6902559,212252,4.6741743087768555
1754970188.8811138,212513,4.675864219665527
1754970204.9090486,212589,4.826883316040039
1754970318.3165064,213125,4.665489673614502
1754970400.6481693,213514,4.757449150085449
1754970422.7537088,213619,4.717742919921875
1754970570.6908898,214319,4.692337989807129
1754970636.5123453,214632,4.58469295501709
1754970726.8034675,215059,4.721134662628174
1754970734.179016,215094,4.549190998077393
1754970954.9153056,216138,4.719332695007324
1754971210.361435,217348,4.65675163269043
1754971229.8384838,217440,4.733739376068115
1754971251.9513576,217545,4.6838860511779785
1754971298.628787,217766,4.93175745010376
1754971539.5344222,218905,4.53587532043457
1754971685.2778192,219595,4.5814619064331055
1754971768.8457134,219989,4.691237449645996
1754971874.3049905,220488,4.714991569519043
1754971889.1518521,220559,4.610169410705566
1754972215.435157,222103,4.642566204071045
1754972384.341036,222903,4.662038803100586
1754972566.8746073,223770,4.755322456359863
1754972834.08336,225034,4.662226676940918
1754973257.458149,227033,4.784346580505371
1754973443.006022,227909,4.616157531738281
1754973713.014142,229184,4.733396053314209
1754973731.1788714,229270,4.8351545333862305
1754973893.6318364,230038,4.64194393157959
1754974015.7470744,230617,4.649568557739258
1754974171.910353,231354,4.67190408706665
1754974368.1406367,232280,4.70481538772583
1754974820.7741683,234419,4.678035259246826
1754974928.7236667,234928,4.67188835144043
1754974942.2380676,234992,4.672841548919678
1754975111.6645825,235793,4.6929802894592285
1754975178.3140469,236108,4.606911659240723
1754975212.0650492,236268,4.8121795654296875
1754975315.6666274,236758,4.637714862823486
1754975333.4281476,236842,4.616472244262695
1754975476.142457,237514,4.588536262512207
1754975525.7319274,237749,4.773547172546387
1754975671.4339817,238439,4.556037425994873
1754975722.7312512,238684,4.812760829925537
1754976013.753292,240063,4.490893363952637
1754976059.8100772,240282,4.598955154418945
1754976172.636075,240816,4.765598297119141
1754976297.189326,241406,4.741167068481445
1754976501.5745678,242376,4.622866630554199
1754976650.6564143,243081,4.682667255401611
1754976968.9596796,244589,4.80966854095459
1754977031.8247716,244887,4.550022602081299
1754977102.3409195,245221,4.6137590408325195
1754977163.5673215,245512,4.694320201873779
1754977324.923158,246277,4.716263771057129
1754977459.7415423,246917,4.573562145233154
1754977614.282122,247649,4.572042465209961
1754977739.0738037,248238,4.480829238891602
1754977958.7402914,249278,4.527734279632568
1754978172.7836416,250293,4.774188041687012
1754978289.520923,250844,4.72298002243042
1754978477.2471025,251729,4.619880676269531
1754978486.1851492,251771,4.63517951965332
1754978542.0073779,252035,4.593225479125977
1754978686.9826257,252720,4.653261184692383
1754979112.873907,254728,4.75486946105957
1754979213.2915828,255202,4.769035816192627
1754979569.2791443,256888,4.765028953552246
1754979583.4746337,256955,4.519182205200195
1754979778.2591455,257873,4.758711338043213
1754980259.98904,260155,4.729711055755615
1754980460.0514257,261101,4.753046035766602
1754980675.9275756,262124,4.579858779907227
1754980717.764493,262322,4.569655418395996
1754980718.3853776,262325,4.596096038818359
1754980846.5130298,262932,4.5758795738220215
1754980982.7253501,263574,4.70949125289917
1754981104.0641398,264148,4.6857476234436035
1754981297.7660534,265062,4.595750331878662
1754981318.5698838,265161,4.602938652038574
1754981528.2468412,266155,4.579930305480957
1754981964.6676505,268220,4.574524879455566
1754982052.0343928,268631,4.511216640472412
1754982512.1709569,270803,4.682668685913086
1754982986.7764447,273046,4.640040874481201
1754983004.620977,273130,4.601801872253418
1754983021.6789584,273211,4.769171237945557
1754983421.9951115,275107,4.660541534423828
1754983524.0166311,275590,4.549771308898926
1754983762.2363925,276716,4.59670877456665
1754983792.0178447,276857,4.753468036651611
1754984107.5541973,278350,4.6159257888793945
1754984551.8882408,280454,4.645612716674805
1754985181.4744017,283435,4.576982498168945
1754985627.7902107,285545,4.527620315551758
1754985831.1362238,286506,4.477774620056152
1754985977.4143736,287196,4.502529144287109
1754986191.3731415,288207,4.728984832763672
1754986347.9410524,288949,4.655022621154785
1754986868.1938436,291411,4.501186847686768
1754987046.8866155,292256,4.818350791931152
1754987428.6346405,294062,4.703014373779297
1754987450.2403216,294164,4.694059371948242
1754987659.614979,295154,4.582208633422852
1754987841.4568775,296015,4.7031474113464355
1754988691.5322478,300048,4.565955638885498
1754989049.4037716,301742,4.678534507751465
1754989170.6685026,302316,4.573700428009033
1754989229.566521,302595,4.578477382659912
1754989738.598196,305005,4.6027350425720215
1754989794.4146838,305270,4.567386627197266
1754990172.0852022,307057,4.3997931480407715
1754990225.2131774,307309,4.633864879608154
1754990338.9231868,307847,4.6858954429626465
1754990367.9319956,307984,4.796566963195801
1754990502.5138192,308619,4.603267669677734
1754990649.5501945,309314,4.5461039543151855
1754990728.8204253,309689,4.5670857429504395
1754990813.8177176,310090,4.598874568939209
1754990928.7083616,310630,4.704201698303223
1754991508.1599379,313368,4.376947402954102
1754992005.5607827,315725,4.6378350257873535
1754992065.1730893,316008,4.645905494689941
1754992111.1679096,316226,4.512777328491211
1754992141.743886,316372,4.634245872497559
1754992316.6563337,317203,4.460787773132324
1754992470.4699767,317932,4.687980651855469
1754992767.3275106,319336,4.5114593505859375
1754992827.7045646,319621,4.636524200439453
1754992842.0612233,319689,4.826859474182129
1754993440.6086838,322521,4.652647972106934
1754993477.4502087,322695,4.729048728942871
1754993526.566623,322927,4.474919319152832
1754993592.875127,323241,4.5715765953063965
1754993687.8594527,323692,4.64573335647583
1754994047.618651,325393,4.607163906097412
1754994144.25461,325850,4.755281925201416
1754994248.0397453,326340,4.570192337036133
1754994250.9794598,326354,4.572665214538574
1754994267.8165505,326434,4.621020793914795
1754994462.8216226,327358,4.5911359786987305
1754994464.5379694,327366,4.390570163726807
1754994761.801891,328770,4.599057197570801
1754994777.8664694,328846,4.571140766143799
1754995092.4362795,330337,4.57855749130249
1754995215.1204662,330920,4.487142562866211
1754995858.1128592,333966,4.567622661590576
1754995882.5476105,334081,4.635464668273926
1754996357.8734503,336325,4.595799922943115
1754996719.3850532,338035,4.6346235275268555
1754996735.7456787,338112,4.624749660491943
1754996820.6497066,338513,4.582723617553711
1754997090.65522,339791,4.707424163818359
1754997413.3546212,341316,4.713822841644287
1754997802.442931,343162,4.654142379760742
1754997921.849035,343725,4.526980876922607
1754998357.2740204,345781,4.598392009735107
1754998483.921927,346381,4.369436264038086
1754998835.3219054,348041,4.709889888763428
1754999296.639862,350232,4.553183555603027
1754999768.5572927,352468,4.448012351989746
1755000628.4239404,356540,4.551715850830078
1755000861.311305,357638,4.361382484436035
1755000952.0477276,358065,4.587255477905273
1755001018.4601648,358377,4.63547420501709
1755001094.0499504,358734,4.738222599029541
1755001163.821404,359064,4.694636821746826
1755001444.3836594,360385,4.473005294799805
1755001783.0857959,361983,4.6981658935546875
1755001994.0812106,362976,4.52114200592041
1755002060.134277,363288,4.511423110961914
1755002438.2674346,365076,4.4697089195251465
1755002676.1716423,366202,4.496612548828125
1755002714.319604,366382,4.488214015960693
1755003220.6217473,368777,4.59906005859375
1755003271.5244348,369017,4.65065336227417
1755003485.4816644,370032,4.485229969024658
1755003683.273152,370973,4.504576683044434
1755003748.318709,371280,4.504755973815918
1755003972.7553315,372340,4.498258590698242
1755003980.9573772,372379,4.379956245422363
1755004055.6932437,372735,4.569634437561035
1755004116.114007,373021,4.361152172088623
1755004211.2100294,373472,4.437895774841309
1755004474.3992088,374716,4.419273376464844
1755004559.7486486,375120,4.521637916564941
1755005052.6732454,376647,4.5829315185546875
1755005147.2604654,377094,4.637869834899902
1755005279.7577593,377722,4.735569477081299
1755005584.4901817,379163,4.585679054260254
1755005767.3765566,380027,4.530159950256348
1755006091.4008603,381558,4.568056106567383
1755006445.1278167,383228,4.493685245513916
1755006587.9602249,383902,4.375107288360596
1755040167.0622003,390380,4.471285343170166
1755040416.450338,391560,4.398365020751953
1755040418.6278477,391570,4.636871337890625
1755045774.8027947,393386,4.534519195556641
1755045990.5884473,394393,4.561830520629883
1755046452.7790403,396572,4.478512763977051
1755046598.0081596,397257,4.518923759460449
1755046712.7051833,397798,4.556443691253662
1755047202.395998,400107,4.352655410766602
1755047263.5227501,400396,4.414431571960449
1755047645.266143,402197,4.672074794769287
1755047693.6947496,402426,4.461245059967041
1755047750.081607,402692,4.655379772186279
1755048773.8794851,407529,4.692028045654297
1755048807.7583232,407689,4.45625638961792
1755049033.6049833,408756,4.524143695831299
1755049226.0318332,409667,4.403149604797363
1755049705.6474197,411932,4.3115997314453125
1755049936.1655364,413026,4.593189239501953
1755050349.1757967,414979,4.601907730102539
1755050531.2626858,415837,4.461699485778809
1755051056.111127,418308,4.438814640045166
1755051172.2824843,418854,4.567354202270508
1755051596.0771215,420847,4.6202192306518555
1755051740.4529579,421528,4.444436073303223
1755051743.194154,421541,4.531811237335205
1755051744.43229,421547,4.526122093200684
1755052490.8186872,425068,4.588504791259766
1755052545.2699325,425325,4.572021484375
1755052616.5357385,425662,4.432039260864258
1755053208.502027,428461,4.418862819671631
1755053320.10839,428989,4.497709274291992
1755053636.6601367,430484,4.544128894805908
1755054160.523767,432963,4.507970809936523
1755054166.7855964,432993,4.448326110839844
